 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.125,    0.75,   44.95, 359.58
      0.375,    0.75,  134.66, 359.10
      0.625,    0.75,  222.61, 356.17
      0.875,    0.76,  307.47, 351.40
      1.125,    0.95,  318.48, 283.09
      1.375,    1.15,  320.40, 233.02
      1.625,    1.35,  322.47, 198.44
      1.875,    1.56,  323.37, 172.46
      2.125,    1.76,  324.06, 152.50
      2.375,    1.96,  324.94, 136.82
      2.625,    2.17,  325.36, 123.95
      2.875,    2.37,  325.70, 113.29
      3.125,    2.57,  326.11, 104.36
      3.375,    2.78,  325.88,  96.56
      3.625,    2.98,  326.78,  90.15
      3.875,    3.18,  326.84,  84.35
      4.125,    3.39,  327.08,  79.29
      4.375,    3.61,  325.17,  74.32
      4.625,    3.81,  325.48,  70.37
      5.125,    3.83,  358.74,  70.00
      5.625,    4.24,  356.52,  63.38
      6.125,    4.64,  354.37,  57.86
      7.125,    5.39,  354.75,  49.79
      8.125,    6.06,  359.66,  44.27
     10.125,    7.52,  361.56,  35.71
     12.125,    9.03,  360.63,  29.74
     14.125,    9.62,  394.09,  27.90
     16.125,   10.98,  394.28,  24.45
     20.125,   13.52,  399.64,  19.86
     24.125,   16.52,  392.13,  16.25
     32.125,   20.68,  417.00,  12.98
     48.125,   30.77,  419.91,   8.73
     64.125,   41.25,  417.26,   6.51
