 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.500,    0.00,     inf,    inf
      1.500,    0.00,     inf,    inf
      2.500,    0.00,     inf,    inf
      3.500,    0.00,     inf,    inf
      4.500,    0.00,     inf,    inf
      5.500,    0.00,     inf,    inf
      6.500,    0.00,     inf,    inf
      7.500,    0.00,     inf,    inf
      8.500,    0.00,     inf,    inf
      9.500,    0.00,     inf,    inf
     10.500,    0.00,     inf,    inf
     11.500,    0.00,     inf,    inf
     12.500,    0.00,     inf,    inf
     13.500,    0.00,     inf,    inf
     14.500,    0.00,     inf,    inf
     15.500,    0.00,     inf,    inf
     16.500,    0.00,     inf,    inf
     17.500,    0.00,     inf,    inf
     18.500,    0.00,     inf,    inf
     20.500,    0.00,     inf,    inf
     22.500,    0.00,     inf,    inf
     24.500,    0.00,     inf,    inf
     28.500,    0.00,     inf,    inf
     32.500,    0.00,     inf,    inf
     40.500,    0.00,     inf,    inf
     48.500,    0.00,     inf,    inf
     56.500,    0.00,     inf,    inf
     64.500,    0.00,     inf,    inf
     80.500,    0.00,     inf,    inf
     96.500,    0.00,     inf,    inf
    128.500,    0.00,     inf,    inf
    192.500,    0.00,     inf,    inf
    256.500,    0.00,     inf,    inf
