 Iops/byte, ex.time,   GIOPS, GB/sec
     0.250,    0.37,   90.77, 363.08
     0.750,    0.37,  271.56, 362.08
     1.250,    0.37,  452.60, 362.08
     1.750,    0.37,  633.64, 362.08
     2.250,    0.37,  812.43, 361.08
     2.750,    0.37,  990.16, 360.06
     3.250,    0.37, 1167.08, 359.10
     3.750,    0.37, 1346.63, 359.10
     4.250,    0.37, 1526.18, 359.10
     4.750,    0.38, 1696.44, 357.14
     5.250,    0.37, 1885.28, 359.10
     5.750,    0.37, 2076.21, 361.08
     6.250,    0.37, 2244.38, 359.10
     6.750,    0.38, 2404.17, 356.17
     7.250,    0.37, 2603.26, 359.07
     7.750,    0.38, 2767.87, 357.14
     8.250,    0.37, 2954.49, 358.12
     8.750,    0.46, 2537.70, 290.02
     9.250,    0.47, 2618.61, 283.09
    10.250,    0.47, 2914.29, 284.32
    11.250,    0.50, 3046.61, 270.81
    12.250,    0.52, 3160.69, 258.02
    14.250,    0.57, 3341.28, 234.48
    16.250,    0.65, 3354.20, 206.41
    20.250,    0.78, 3474.09, 171.56
    24.250,    0.93, 3500.55, 144.35
    28.250,    0.98, 3861.09, 136.68
    32.250,    1.13, 3842.79, 119.16
    40.250,    1.39, 3893.47,  96.73
    48.250,    1.66, 3911.08,  81.06
    64.250,    2.09, 4128.13,  64.25
    96.250,    3.12, 4141.72,  43.03
   128.250,    4.15, 4152.66,  32.38
