 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.250,    0.37,   90.52, 362.08
      0.750,    0.37,  272.31, 363.08
      1.250,    0.37,  453.85, 363.08
      1.750,    0.37,  633.64, 362.08
      2.250,    0.37,  816.93, 363.08
      2.750,    0.37,  995.71, 362.08
      3.250,    0.37, 1176.75, 362.08
      3.750,    0.37, 1354.05, 361.08
      4.250,    0.37, 1534.59, 361.08
      4.750,    0.37, 1715.13, 361.08
      5.250,    0.37, 1900.91, 362.08
      5.750,    0.37, 2081.94, 362.08
      6.250,    0.37, 2262.98, 362.08
      6.750,    0.37, 2444.02, 362.08
      7.250,    0.37, 2610.64, 360.09
      7.750,    0.37, 2806.10, 362.08
      8.250,    0.37, 2970.73, 360.09
      8.750,    0.39, 3034.07, 346.75
      9.250,    0.39, 3198.99, 345.84
     10.250,    0.38, 3582.63, 349.53
     11.250,    0.39, 3900.95, 346.75
     12.250,    0.39, 4225.35, 344.93
     14.250,    0.39, 4851.37, 340.45
     16.250,    0.40, 5392.20, 331.83
     20.250,    0.42, 6426.65, 317.37
     24.250,    0.46, 7080.53, 291.98
     28.250,    0.49, 7730.24, 273.64
     32.250,    0.52, 8387.05, 260.06
     40.250,    0.61, 8896.54, 221.03
     48.250,    0.71, 9060.49, 187.78
     64.250,    0.94, 9213.76, 143.40
     96.250,    1.32, 9794.78, 101.76
    128.250,    1.74, 9876.61,  77.01
