 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.125,    0.00,     inf,    inf
      0.375,    0.00,     inf,    inf
      0.625,    0.00,     inf,    inf
      0.875,    0.00,     inf,    inf
      1.125,    0.00,     inf,    inf
      1.375,    0.00,     inf,    inf
      1.625,    0.00,     inf,    inf
      1.875,    0.00,     inf,    inf
      2.125,    0.00,     inf,    inf
      2.375,    0.00,     inf,    inf
      2.625,    0.00,     inf,    inf
      2.875,    0.00,     inf,    inf
      3.125,    0.00,     inf,    inf
      3.375,    0.00,     inf,    inf
      3.625,    0.00,     inf,    inf
      3.875,    0.00,     inf,    inf
      4.125,    0.00,     inf,    inf
      4.375,    0.00,     inf,    inf
      4.625,    0.00,     inf,    inf
      5.125,    0.00,     inf,    inf
      5.625,    0.00,     inf,    inf
      6.125,    0.00,     inf,    inf
      7.125,    0.00,     inf,    inf
      8.125,    0.00,     inf,    inf
     10.125,    0.00,     inf,    inf
     12.125,    0.00,     inf,    inf
     14.125,    0.00,     inf,    inf
     16.125,    0.00,     inf,    inf
     20.125,    0.00,     inf,    inf
     24.125,    0.00,     inf,    inf
     32.125,    0.00,     inf,    inf
     48.125,    0.00,     inf,    inf
     64.125,    0.00,     inf,    inf
