 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.500,    6.63,   10.12,  20.23
      1.500,   12.07,   16.68,  11.12
      2.500,   12.26,   27.38,  10.95
      3.500,   11.70,   40.13,  11.47
      4.500,   12.02,   50.24,  11.16
      5.500,   10.25,   72.02,  13.10
      6.500,   12.07,   72.29,  11.12
      7.500,   12.07,   83.42,  11.12
      8.500,   12.16,   93.80,  11.04
      9.500,   11.72,  108.83,  11.46
     10.500,   12.07,  116.78,  11.12
     11.500,   12.08,  127.76,  11.11
     12.500,   12.05,  139.27,  11.14
     13.500,   12.23,  148.21,  10.98
     14.500,   12.04,  161.71,  11.15
     15.500,   11.93,  174.36,  11.25
     16.500,   11.69,  189.44,  11.48
     17.500,    3.99,  589.36,  33.68
     18.500,    5.59,  444.13,  24.01
     20.500,   12.02,  228.91,  11.17
     22.500,   12.13,  248.90,  11.06
     24.500,   11.81,  278.42,  11.36
     28.500,   12.18,  314.13,  11.02
     32.500,   12.24,  356.43,  10.97
     40.500,   12.02,  452.13,  11.16
     48.500,   11.96,  544.16,  11.22
     56.500,   12.00,  632.01,  11.19
     64.500,   11.90,  727.21,  11.27
     80.500,   10.03, 1076.76,  13.38
     96.500,   11.81, 1097.08,  11.37
    128.500,   14.18, 1216.27,   9.47
    192.500,   20.20, 1279.17,   6.65
    256.500,   26.62, 1293.37,   5.04
