 Flops/byte, ex.time,  GFLOPS, GB/sec
      0.250,    6.93,    4.84,  19.36
      0.750,   11.88,    8.47,  11.30
      1.250,   11.85,   14.16,  11.33
      1.750,   11.92,   19.71,  11.26
      2.250,   11.92,   25.33,  11.26
      2.750,   12.36,   29.86,  10.86
      3.250,   11.77,   37.06,  11.40
      3.750,   11.91,   42.24,  11.26
      4.250,   11.67,   48.89,  11.50
      4.750,   11.78,   54.11,  11.39
      5.250,   11.90,   59.22,  11.28
      5.750,   12.23,   63.11,  10.98
      6.250,   11.93,   70.34,  11.25
      6.750,   11.98,   75.60,  11.20
      7.250,   12.26,   79.37,  10.95
      7.750,   11.99,   86.79,  11.20
      8.250,   12.00,   92.25,  11.18
      8.750,   19.86,   59.15,   6.76
      9.250,    4.01,  309.94,  33.51
     10.250,   10.08,  136.53,  13.32
     11.250,   12.05,  125.35,  11.14
     12.250,   11.75,  139.90,  11.42
     14.250,   12.28,  155.78,  10.93
     16.250,   12.26,  177.85,  10.94
     20.250,   12.07,  225.27,  11.12
     24.250,   12.18,  267.15,  11.02
     28.250,   12.35,  307.08,  10.87
     32.250,   11.89,  363.97,  11.29
     40.250,    9.00,  600.44,  14.92
     48.250,   10.60,  611.14,  12.67
     64.250,   13.80,  624.81,   9.72
     96.250,   20.21,  639.21,   6.64
    128.250,   26.60,  647.15,   5.05
