Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    9.60,    3.49,  13.98,      0.125,    0.00,     inf,    inf,      0.500,   11.29,    5.94,  11.88,     0.250,   20.74,    1.62,   6.47
            1,      0.750,   17.86,    5.63,   7.51,      0.375,    0.00,     inf,    inf,      1.500,   11.58,   17.38,  11.59,     0.750,   11.61,    8.67,  11.56
            2,      1.250,   11.59,   14.47,  11.58,      0.625,    0.00,     inf,    inf,      2.500,   11.54,   29.07,  11.63,     1.250,   11.53,   14.55,  11.64
            3,      1.750,   11.50,   20.42,  11.67,      0.875,    0.00,     inf,    inf,      3.500,   11.62,   40.44,  11.56,     1.750,   11.57,   20.30,  11.60
            4,      2.250,   11.54,   26.18,  11.63,      1.125,    0.00,     inf,    inf,      4.500,   11.87,   50.90,  11.31,     2.250,   11.51,   26.23,  11.66
            5,      2.750,   11.77,   31.36,  11.40,      1.375,    0.00,     inf,    inf,      5.500,   11.70,   63.07,  11.47,     2.750,   11.61,   31.79,  11.56
            6,      3.250,   11.63,   37.51,  11.54,      1.625,    0.00,     inf,    inf,      6.500,   11.58,   75.35,  11.59,     3.250,   11.77,   37.06,  11.40
            7,      3.750,   11.75,   42.84,  11.43,      1.875,    0.00,     inf,    inf,      7.500,   11.57,   86.97,  11.60,     3.750,   12.11,   41.55,  11.08
            8,      4.250,   11.65,   48.95,  11.52,      2.125,    0.00,     inf,    inf,      8.500,   11.74,   97.16,  11.43,     4.250,   11.67,   48.89,  11.50
            9,      4.750,   11.63,   54.81,  11.54,      2.375,    0.00,     inf,    inf,      9.500,   11.80,  108.08,  11.38,     4.750,   11.83,   53.91,  11.35
           10,      5.250,   11.71,   60.16,  11.46,      2.625,    0.00,     inf,    inf,     10.500,   11.62,  121.28,  11.55,     5.250,   11.72,   60.13,  11.45
           11,      5.750,   11.97,   64.47,  11.21,      2.875,    0.00,     inf,    inf,     11.500,   11.71,  131.76,  11.46,     5.750,   11.73,   65.77,  11.44
           12,      6.250,   11.73,   71.53,  11.44,      3.125,    0.00,     inf,    inf,     12.500,   11.67,  143.73,  11.50,     6.250,   11.90,   70.51,  11.28
           13,      6.750,   11.65,   77.76,  11.52,      3.375,    0.00,     inf,    inf,     13.500,   11.91,  152.07,  11.26,     6.750,   20.01,   45.27,   6.71
           14,      7.250,   11.81,   82.43,  11.37,      3.625,    0.00,     inf,    inf,     14.500,   11.64,  167.20,  11.53,     7.250,   11.60,   83.88,  11.57
           15,      7.750,   11.70,   88.92,  11.47,      3.875,    0.00,     inf,    inf,     15.500,   11.84,  175.68,  11.33,     7.750,   11.66,   89.17,  11.51
           16,      8.250,   11.73,   94.36,  11.44,      4.125,    0.00,     inf,    inf,     16.500,   11.69,  189.39,  11.48,     8.250,   11.83,   93.62,  11.35
           17,      8.750,   11.70,  100.38,  11.47,      4.375,    0.00,     inf,    inf,     17.500,   11.79,  199.18,  11.38,     8.750,   12.00,   97.88,  11.19
           18,      9.250,   21.91,   56.66,   6.13,      4.625,    0.00,     inf,    inf,     18.500,   13.75,  180.62,   9.76,     9.250,   12.00,  103.50,  11.19
           20,     10.250,   11.81,  116.44,  11.36,      5.125,    0.00,     inf,    inf,     20.500,   11.57,  237.72,  11.60,    10.250,   11.75,  117.10,  11.42
           22,     11.250,   11.65,  129.63,  11.52,      5.625,    0.00,     inf,    inf,     22.500,   11.61,  260.00,  11.56,    11.250,   11.70,  129.00,  11.47
           24,     12.250,   12.04,  136.53,  11.15,      6.125,    0.00,     inf,    inf,     24.500,   11.70,  280.99,  11.47,    12.250,   11.74,  140.09,  11.44
           28,     14.250,   11.78,  162.35,  11.39,      7.125,    0.00,     inf,    inf,     28.500,   11.69,  327.11,  11.48,    14.250,   12.60,  151.78,  10.65
           32,     16.250,   11.60,  187.99,  11.57,      8.125,    0.00,     inf,    inf,     32.500,   11.76,  370.82,  11.41,    16.250,   14.22,  153.34,   9.44
           40,     20.250,   11.63,  233.66,  11.54,     10.125,    0.00,     inf,    inf,     40.500,   11.65,  466.46,  11.52,    20.250,   17.76,  153.00,   7.56
           48,     24.250,   11.73,  277.56,  11.45,     12.125,    0.00,     inf,    inf,     48.500,   11.71,  556.02,  11.46,    24.250,   21.09,  154.34,   6.36
           56,     28.250,   11.65,  325.57,  11.52,     14.125,    0.00,     inf,    inf,     56.500,   11.63,  652.04,  11.54,    28.250,   24.65,  153.79,   5.44
           64,     32.250,   11.81,  366.56,  11.37,     16.125,    0.00,     inf,    inf,     64.500,   11.56,  748.87,  11.61,    32.250,   23.78,  182.04,   5.64
           80,     40.250,    9.01,  599.57,  14.90,     20.125,    0.00,     inf,    inf,     80.500,   10.02, 1078.04,  13.39,    40.250,   28.78,  187.70,   4.66
           96,     48.250,   10.58,  611.92,  12.68,     24.125,    0.00,     inf,    inf,     96.500,   11.80, 1097.19,  11.37,    48.250,   34.40,  188.27,   3.90
          128,     64.250,   14.46,  596.55,   9.28,     32.125,    0.00,     inf,    inf,    128.500,   15.36, 1122.89,   8.74,    64.250,   45.75,  188.47,   2.93
          192,     96.250,   20.21,  639.26,   6.64,     48.125,    0.00,     inf,    inf,    192.500,   20.19, 1279.51,   6.65,    96.250,   68.42,  188.81,   1.96
          256,    128.250,   26.60,  647.05,   5.05,     64.125,    0.00,     inf,    inf,    256.500,   26.61, 1293.63,   5.04,   128.250,   91.22,  188.71,   1.47
