Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.37,   90.52, 362.08,      0.125,    0.75,   44.95, 359.58,      0.500,    0.00,     inf,    inf,     0.250,    0.37,   90.77, 363.08
            1,      0.750,    0.37,  272.31, 363.08,      0.375,    0.75,  134.66, 359.10,      1.500,    0.00,     inf,    inf,     0.750,    0.37,  271.56, 362.08
            2,      1.250,    0.37,  453.85, 363.08,      0.625,    0.75,  222.61, 356.17,      2.500,    0.00,     inf,    inf,     1.250,    0.37,  452.60, 362.08
            3,      1.750,    0.37,  633.64, 362.08,      0.875,    0.76,  307.47, 351.40,      3.500,    0.00,     inf,    inf,     1.750,    0.37,  633.64, 362.08
            4,      2.250,    0.37,  816.93, 363.08,      1.125,    0.95,  318.48, 283.09,      4.500,    0.00,     inf,    inf,     2.250,    0.37,  812.43, 361.08
            5,      2.750,    0.37,  995.71, 362.08,      1.375,    1.15,  320.40, 233.02,      5.500,    0.00,     inf,    inf,     2.750,    0.37,  990.16, 360.06
            6,      3.250,    0.37, 1176.75, 362.08,      1.625,    1.35,  322.47, 198.44,      6.500,    0.00,     inf,    inf,     3.250,    0.37, 1167.08, 359.10
            7,      3.750,    0.37, 1354.05, 361.08,      1.875,    1.56,  323.37, 172.46,      7.500,    0.00,     inf,    inf,     3.750,    0.37, 1346.63, 359.10
            8,      4.250,    0.37, 1534.59, 361.08,      2.125,    1.76,  324.06, 152.50,      8.500,    0.00,     inf,    inf,     4.250,    0.37, 1526.18, 359.10
            9,      4.750,    0.37, 1715.13, 361.08,      2.375,    1.96,  324.94, 136.82,      9.500,    0.00,     inf,    inf,     4.750,    0.38, 1696.44, 357.14
           10,      5.250,    0.37, 1900.91, 362.08,      2.625,    2.17,  325.36, 123.95,     10.500,    0.00,     inf,    inf,     5.250,    0.37, 1885.28, 359.10
           11,      5.750,    0.37, 2081.94, 362.08,      2.875,    2.37,  325.70, 113.29,     11.500,    0.00,     inf,    inf,     5.750,    0.37, 2076.21, 361.08
           12,      6.250,    0.37, 2262.98, 362.08,      3.125,    2.57,  326.11, 104.36,     12.500,    0.00,     inf,    inf,     6.250,    0.37, 2244.38, 359.10
           13,      6.750,    0.37, 2444.02, 362.08,      3.375,    2.78,  325.88,  96.56,     13.500,    0.00,     inf,    inf,     6.750,    0.38, 2404.17, 356.17
           14,      7.250,    0.37, 2610.64, 360.09,      3.625,    2.98,  326.78,  90.15,     14.500,    0.00,     inf,    inf,     7.250,    0.37, 2603.26, 359.07
           15,      7.750,    0.37, 2806.10, 362.08,      3.875,    3.18,  326.84,  84.35,     15.500,    0.00,     inf,    inf,     7.750,    0.38, 2767.87, 357.14
           16,      8.250,    0.37, 2970.73, 360.09,      4.125,    3.39,  327.08,  79.29,     16.500,    0.00,     inf,    inf,     8.250,    0.37, 2954.49, 358.12
           17,      8.750,    0.39, 3034.07, 346.75,      4.375,    3.61,  325.17,  74.32,     17.500,    0.00,     inf,    inf,     8.750,    0.46, 2537.70, 290.02
           18,      9.250,    0.39, 3198.99, 345.84,      4.625,    3.81,  325.48,  70.37,     18.500,    0.00,     inf,    inf,     9.250,    0.47, 2618.61, 283.09
           20,     10.250,    0.38, 3582.63, 349.53,      5.125,    3.83,  358.74,  70.00,     20.500,    0.00,     inf,    inf,    10.250,    0.47, 2914.29, 284.32
           22,     11.250,    0.39, 3900.95, 346.75,      5.625,    4.24,  356.52,  63.38,     22.500,    0.00,     inf,    inf,    11.250,    0.50, 3046.61, 270.81
           24,     12.250,    0.39, 4225.35, 344.93,      6.125,    4.64,  354.37,  57.86,     24.500,    0.00,     inf,    inf,    12.250,    0.52, 3160.69, 258.02
           28,     14.250,    0.39, 4851.37, 340.45,      7.125,    5.39,  354.75,  49.79,     28.500,    0.00,     inf,    inf,    14.250,    0.57, 3341.28, 234.48
           32,     16.250,    0.40, 5392.20, 331.83,      8.125,    6.06,  359.66,  44.27,     32.500,    0.00,     inf,    inf,    16.250,    0.65, 3354.20, 206.41
           40,     20.250,    0.42, 6426.65, 317.37,     10.125,    7.52,  361.56,  35.71,     40.500,    0.00,     inf,    inf,    20.250,    0.78, 3474.09, 171.56
           48,     24.250,    0.46, 7080.53, 291.98,     12.125,    9.03,  360.63,  29.74,     48.500,    0.00,     inf,    inf,    24.250,    0.93, 3500.55, 144.35
           56,     28.250,    0.49, 7730.24, 273.64,     14.125,    9.62,  394.09,  27.90,     56.500,    0.00,     inf,    inf,    28.250,    0.98, 3861.09, 136.68
           64,     32.250,    0.52, 8387.05, 260.06,     16.125,   10.98,  394.28,  24.45,     64.500,    0.00,     inf,    inf,    32.250,    1.13, 3842.79, 119.16
           80,     40.250,    0.61, 8896.54, 221.03,     20.125,   13.52,  399.64,  19.86,     80.500,    0.00,     inf,    inf,    40.250,    1.39, 3893.47,  96.73
           96,     48.250,    0.71, 9060.49, 187.78,     24.125,   16.52,  392.13,  16.25,     96.500,    0.00,     inf,    inf,    48.250,    1.66, 3911.08,  81.06
          128,     64.250,    0.94, 9213.76, 143.40,     32.125,   20.68,  417.00,  12.98,    128.500,    0.00,     inf,    inf,    64.250,    2.09, 4128.13,  64.25
          192,     96.250,    1.32, 9794.78, 101.76,     48.125,   30.77,  419.91,   8.73,    192.500,    0.00,     inf,    inf,    96.250,    3.12, 4141.72,  43.03
          256,    128.250,    1.74, 9876.61,  77.01,     64.125,   41.25,  417.26,   6.51,    256.500,    0.00,     inf,    inf,   128.250,    4.15, 4152.66,  32.38
