Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    6.93,    4.84,  19.36,      0.125,    0.00,     inf,    inf,      0.500,    6.63,   10.12,  20.23,     0.250,   11.74,    2.86,  11.43
            1,      0.750,   11.88,    8.47,  11.30,      0.375,    0.00,     inf,    inf,      1.500,   12.07,   16.68,  11.12,     0.750,   11.66,    8.63,  11.51
            2,      1.250,   11.85,   14.16,  11.33,      0.625,    0.00,     inf,    inf,      2.500,   12.26,   27.38,  10.95,     1.250,   12.11,   13.86,  11.09
            3,      1.750,   11.92,   19.71,  11.26,      0.875,    0.00,     inf,    inf,      3.500,   11.70,   40.13,  11.47,     1.750,   12.12,   19.37,  11.07
            4,      2.250,   11.92,   25.33,  11.26,      1.125,    0.00,     inf,    inf,      4.500,   12.02,   50.24,  11.16,     2.250,   11.93,   25.31,  11.25
            5,      2.750,   12.36,   29.86,  10.86,      1.375,    0.00,     inf,    inf,      5.500,   10.25,   72.02,  13.10,     2.750,   12.18,   30.30,  11.02
            6,      3.250,   11.77,   37.06,  11.40,      1.625,    0.00,     inf,    inf,      6.500,   12.07,   72.29,  11.12,     3.250,   12.01,   36.32,  11.18
            7,      3.750,   11.91,   42.24,  11.26,      1.875,    0.00,     inf,    inf,      7.500,   12.07,   83.42,  11.12,     3.750,   12.10,   41.60,  11.09
            8,      4.250,   11.67,   48.89,  11.50,      2.125,    0.00,     inf,    inf,      8.500,   12.16,   93.80,  11.04,     4.250,   11.74,   48.59,  11.43
            9,      4.750,   11.78,   54.11,  11.39,      2.375,    0.00,     inf,    inf,      9.500,   11.72,  108.83,  11.46,     4.750,   12.13,   52.57,  11.07
           10,      5.250,   11.90,   59.22,  11.28,      2.625,    0.00,     inf,    inf,     10.500,   12.07,  116.78,  11.12,     5.250,   11.99,   58.76,  11.19
           11,      5.750,   12.23,   63.11,  10.98,      2.875,    0.00,     inf,    inf,     11.500,   12.08,  127.76,  11.11,     5.750,   12.25,   63.00,  10.96
           12,      6.250,   11.93,   70.34,  11.25,      3.125,    0.00,     inf,    inf,     12.500,   12.05,  139.27,  11.14,     6.250,   11.94,   70.24,  11.24
           13,      6.750,   11.98,   75.60,  11.20,      3.375,    0.00,     inf,    inf,     13.500,   12.23,  148.21,  10.98,     6.750,   11.90,   76.16,  11.28
           14,      7.250,   12.26,   79.37,  10.95,      3.625,    0.00,     inf,    inf,     14.500,   12.04,  161.71,  11.15,     7.250,   11.90,   81.76,  11.28
           15,      7.750,   11.99,   86.79,  11.20,      3.875,    0.00,     inf,    inf,     15.500,   11.93,  174.36,  11.25,     7.750,   12.16,   85.53,  11.04
           16,      8.250,   12.00,   92.25,  11.18,      4.125,    0.00,     inf,    inf,     16.500,   11.69,  189.44,  11.48,     8.250,   11.87,   93.28,  11.31
           17,      8.750,   19.86,   59.15,   6.76,      4.375,    0.00,     inf,    inf,     17.500,    3.99,  589.36,  33.68,     8.750,    6.48,  181.16,  20.70
           18,      9.250,    4.01,  309.94,  33.51,      4.625,    0.00,     inf,    inf,     18.500,    5.59,  444.13,  24.01,     9.250,    8.27,  150.05,  16.22
           20,     10.250,   10.08,  136.53,  13.32,      5.125,    0.00,     inf,    inf,     20.500,   12.02,  228.91,  11.17,    10.250,   11.90,  115.57,  11.28
           22,     11.250,   12.05,  125.35,  11.14,      5.625,    0.00,     inf,    inf,     22.500,   12.13,  248.90,  11.06,    11.250,   12.08,  125.02,  11.11
           24,     12.250,   11.75,  139.90,  11.42,      6.125,    0.00,     inf,    inf,     24.500,   11.81,  278.42,  11.36,    12.250,   12.29,  133.73,  10.92
           28,     14.250,   12.28,  155.78,  10.93,      7.125,    0.00,     inf,    inf,     28.500,   12.18,  314.13,  11.02,    14.250,   12.64,  151.36,  10.62
           32,     16.250,   12.26,  177.85,  10.94,      8.125,    0.00,     inf,    inf,     32.500,   12.24,  356.43,  10.97,    16.250,   14.23,  153.32,   9.44
           40,     20.250,   12.07,  225.27,  11.12,     10.125,    0.00,     inf,    inf,     40.500,   12.02,  452.13,  11.16,    20.250,   16.34,  166.29,   8.21
           48,     24.250,   12.18,  267.15,  11.02,     12.125,    0.00,     inf,    inf,     48.500,   11.96,  544.16,  11.22,    24.250,   19.41,  167.71,   6.92
           56,     28.250,   12.35,  307.08,  10.87,     14.125,    0.00,     inf,    inf,     56.500,   12.00,  632.01,  11.19,    28.250,   22.68,  167.16,   5.92
           64,     32.250,   11.89,  363.97,  11.29,     16.125,    0.00,     inf,    inf,     64.500,   11.90,  727.21,  11.27,    32.250,   23.09,  187.43,   5.81
           80,     40.250,    9.00,  600.44,  14.92,     20.125,    0.00,     inf,    inf,     80.500,   10.03, 1076.76,  13.38,    40.250,   28.78,  187.71,   4.66
           96,     48.250,   10.60,  611.14,  12.67,     24.125,    0.00,     inf,    inf,     96.500,   11.81, 1097.08,  11.37,    48.250,   34.40,  188.24,   3.90
          128,     64.250,   13.80,  624.81,   9.72,     32.125,    0.00,     inf,    inf,    128.500,   14.18, 1216.27,   9.47,    64.250,   45.79,  188.31,   2.93
          192,     96.250,   20.21,  639.21,   6.64,     48.125,    0.00,     inf,    inf,    192.500,   20.20, 1279.17,   6.65,    96.250,   68.49,  188.60,   1.96
          256,    128.250,   26.60,  647.15,   5.05,     64.125,    0.00,     inf,    inf,    256.500,   26.62, 1293.37,   5.04,   128.250,   91.19,  188.76,   1.47
